"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",8381,0.31,"Ideal","F","VS2",62.2,56,583,4.36,4.39,2.72
"2",25425,1.51,"Very Good","F","VS2",62.5,58,14165,7.21,7.36,4.55
"3",45561,0.53,"Good","F","VS1",64.2,56,1688,5.11,5.14,3.29
"4",49821,0.61,"Ideal","G","VS1",60.9,57,2167,5.46,5.5,3.34
"5",20652,1.25,"Very Good","G","VS2",62.2,57,8941,6.84,6.88,4.27
"6",30976,0.37,"Premium","F","VS2",60.6,58,746,4.63,4.67,2.82
"7",37855,0.4,"Ideal","D","VS1",60.6,56,1003,4.78,4.82,2.91
"8",26331,2,"Very Good","H","SI1",60.1,61,15840,8.1,8.13,4.88
"9",15351,1.27,"Very Good","H","SI1",63.2,56,6162,6.92,6.88,4.36
"10",39097,0.41,"Ideal","I","VVS2",61.7,56,1061,4.8,4.77,2.95
"11",26919,2.04,"Premium","I","SI1",62.2,57,16942,8.14,8.07,5.04
"12",24494,2,"Very Good","J","SI1",60.8,58,12768,7.99,8.07,4.88
"13",27583,2.26,"Premium","H","SI1",60.3,58,18426,8.56,8.51,5.15
"14",5176,1.04,"Premium","I","SI2",62,57,3774,6.53,6.47,4.03
"15",36161,0.38,"Ideal","G","VVS2",61.5,55.2,929,4.67,4.71,2.89
"16",2754,0.9,"Very Good","H","SI2",59.6,59,3250,6.38,6.24,3.76
"17",29436,0.38,"Very Good","H","VS2",62.8,55,700,4.64,4.66,2.92
"18",50938,0.51,"Very Good","E","VVS2",61.8,56,2320,5.13,5.16,3.18
"19",13988,1.23,"Premium","F","SI2",61.7,57,5695,6.89,6.86,4.24
"20",19949,1.66,"Good","J","VS2",64.4,54,8496,7.45,7.54,4.83
"21",15645,1,"Ideal","G","VS2",62.3,54,6272,6.42,6.38,3.99
"22",17228,1.5,"Premium","I","SI1",62.3,58,6888,7.33,7.22,4.53
"23",38727,0.4,"Ideal","G","VVS1",62.3,54,1043,4.75,4.76,2.96
"24",10863,1.02,"Very Good","H","SI1",61.2,57,4875,6.47,6.53,3.98
"25",28871,0.32,"Premium","F","SI1",59.3,58,684,4.5,4.47,2.66
"26",15640,1,"Premium","E","VS2",62.8,62,6272,6.29,6.26,3.94
"27",48432,0.7,"Ideal","J","SI1",62.3,57,1974,5.69,5.71,3.55
"28",31077,0.33,"Very Good","G","VVS2",61.9,58,752,4.39,4.43,2.73
"29",48097,0.51,"Ideal","G","VVS1",61.6,56,1933,5.12,5.16,3.17
"30",8146,0.96,"Ideal","G","SI1",62.6,57,4355,6.28,6.24,3.92
"31",45504,0.54,"Ideal","I","VVS1",62.7,57,1681,5.22,5.14,3.25
"32",17544,1.14,"Ideal","H","VS2",62,55,7059,6.71,6.72,4.16
"33",19375,0.27,"Premium","E","VVS1",60.6,58,622,4.18,4.2,2.54
"34",16355,0.3,"Premium","H","VS2",62.7,59,608,4.27,4.22,2.66
"35",26756,2.01,"Ideal","I","SI1",61.4,57,16562,8.13,8.19,5.01
"36",33673,0.41,"Premium","H","SI2",62.2,56,836,4.8,4.72,2.96
"37",30408,0.34,"Ideal","D","VS2",60.8,57,730,4.52,4.56,2.76
"38",12685,1.01,"Good","F","SI1",63.9,59,5309,6.29,6.32,4.03
"39",8074,0.91,"Ideal","H","SI1",62,56,4337,6.19,6.22,3.85
"40",32444,0.43,"Premium","F","SI1",61.3,60,792,4.83,4.86,2.97
"41",51013,0.74,"Ideal","I","SI1",62.3,57,2327,5.76,5.79,3.6
"42",52790,0.72,"Ideal","F","VS2",61.9,54,2568,5.77,5.74,3.56
"43",15158,1.28,"Premium","H","SI2",60.2,58,6093,7.13,7.03,4.26
"44",1346,0.63,"Ideal","D","VVS2",62.6,56,2962,5.47,5.49,3.43
"45",42377,0.43,"Ideal","E","VVS2",62,57,1304,4.87,4.84,3.01
"46",36440,0.31,"Ideal","D","VS2",62.1,54,942,4.41,4.35,2.72
"47",18423,1.52,"Ideal","H","SI1",62,56,7491,7.38,7.32,4.56
"48",31047,0.34,"Premium","D","SI1",62,58,750,4.47,4.43,2.76
"49",14918,1.13,"Premium","H","VS1",58.9,58,6005,6.81,6.78,4
"50",11101,0.82,"Ideal","F","VS2",61.3,56,4931,6.02,6.05,3.7
"51",38901,0.33,"Ideal","E","VVS1",61.2,56,1052,4.51,4.45,2.74
"52",41101,0.5,"Good","I","VS1",61.2,61,1193,5.03,5.06,3.09
"53",15503,1.2,"Good","F","VS1",64,56,6209,6.63,6.58,4.23
"54",44536,0.5,"Ideal","E","VS1",62.2,57,1603,5.1,5.13,3.18
"55",18265,1.51,"Good","J","VS2",62.8,59,7418,7.17,7.2,4.51
"56",20783,1.6,"Premium","H","SI1",62.1,60,9017,7.54,7.49,4.66
"57",45182,0.51,"Ideal","G","VS1",62.7,56,1656,5.08,5.1,3.19
"58",24134,1.52,"Premium","E","SI1",62.5,59,12305,7.26,7.33,4.56
"59",5375,0.3,"Premium","G","SI1",62.7,58,574,4.27,4.22,2.66
"60",34987,0.34,"Premium","F","VS2",62.6,58,880,4.49,4.46,2.8
"61",16347,1.03,"Very Good","G","VS1",63,56,6539,6.43,6.46,4.06
"62",49182,0.72,"Premium","I","VVS2",62,56,2074,5.75,5.73,3.56
"63",31979,0.26,"Very Good","F","VS2",62.9,59,453,4.04,4.07,2.55
"64",41514,0.44,"Ideal","G","VVS1",61.8,55,1235,4.86,4.91,3.02
"65",48791,0.55,"Ideal","G","VVS2",62.5,56,2022,5.22,5.25,3.27
"66",13530,1.1,"Premium","H","SI1",59.6,58,5544,6.79,6.74,4.03
"67",38938,0.4,"Ideal","E","VS1",61.6,56,1053,4.73,4.78,2.93
"68",32604,0.31,"Premium","F","VS2",59.7,60,802,4.42,4.39,2.63
"69",42685,0.5,"Very Good","H","VS2",62.3,56,1337,5.06,5.11,3.17
"70",43220,0.4,"Ideal","E","VVS1",62.6,56,1397,4.73,4.7,2.95
"71",7391,0.33,"Very Good","E","SI1",62,60,579,4.38,4.43,2.73
"72",53796,0.62,"Ideal","E","VS1",61.3,56,2731,5.52,5.54,3.39
"73",29357,0.31,"Very Good","G","VS2",63.1,58,698,4.35,4.3,2.73
"74",9802,0.9,"Very Good","G","VVS2",62.6,55,4668,6.12,6.19,3.85
"75",5993,1.16,"Ideal","J","SI1",60.7,57,3955,6.77,6.83,4.13
"76",46222,0.5,"Premium","D","VS2",61.9,58,1752,5.04,5.1,3.14
"77",34337,0.3,"Ideal","E","VVS1",62.2,57,862,4.28,4.31,2.67
"78",37967,0.41,"Very Good","F","VS1",60.8,58,1007,4.76,4.82,2.91
"79",21774,1.3,"Very Good","G","VS1",62.5,57,9837,6.92,6.96,4.34
"80",7409,0.33,"Premium","G","VS2",60,58,579,4.47,4.49,2.69
"81",14886,1.01,"Ideal","G","VS2",61.7,57,5995,6.48,6.45,3.99
"82",8275,0.9,"Good","H","VVS1",64.3,59,4381,6.04,6.09,3.9
"83",52064,0.7,"Very Good","E","SI2",62.8,59,2453,5.64,5.69,3.56
"84",38943,0.31,"Premium","H","VS2",61.3,60,489,4.32,4.36,2.66
"85",48910,0.54,"Ideal","G","VVS1",61.6,55,2041,5.22,5.24,3.22
"86",25715,2.02,"Very Good","I","VS2",58.8,57,14620,8.21,8.29,4.85
"87",36282,0.32,"Premium","G","SI1",61.6,58,477,4.36,4.4,2.7
"88",27115,1.8,"Very Good","E","SI1",62.2,57,17273,7.81,7.89,4.88
"89",49841,0.59,"Ideal","G","VVS2",62.2,56,2169,5.35,5.39,3.34
"90",5825,1,"Premium","H","SI1",62.9,60,3915,6.36,6.32,3.99
"91",26724,0.32,"Good","F","VS2",63.4,57,645,4.32,4.36,2.75
"92",43311,0.51,"Premium","F","VS2",60.7,59,1402,5.16,5.19,3.14
"93",28197,0.4,"Very Good","E","SI2",62.9,58,666,4.7,4.74,2.97
"94",11443,0.72,"Ideal","F","VVS1",60.8,56,5006,5.81,5.83,3.54
"95",2813,0.7,"Very Good","F","VS1",62.8,56,3265,5.64,5.66,3.55
"96",11199,1.07,"Ideal","I","SI1",62,55,4958,6.56,6.6,4.08
"97",8041,0.39,"Good","J","VS2",63.3,56,581,4.6,4.63,2.92
"98",15669,1,"Very Good","E","VS2",64,59,6285,6.22,6.31,4.01
"99",345,0.8,"Very Good","E","SI2",62.5,56,2804,5.88,5.96,3.7
"100",11627,1.13,"Premium","H","SI1",60.9,59,5050,6.79,6.7,4.11
"101",26565,1.2,"Ideal","E","VVS1",61.8,56,16256,6.78,6.87,4.22
"102",976,0.82,"Very Good","G","SI1",63.4,55,2893,6,5.93,3.78
"103",40354,0.43,"Ideal","G","VVS2",61.4,55,1129,4.88,4.83,2.98
"104",24346,2.1,"Very Good","I","SI2",60.6,60,12612,8.29,8.33,5.04
"105",24963,1.71,"Ideal","H","VS2",62.5,57,13445,7.59,7.63,4.76
"106",35330,0.4,"Ideal","E","VS1",62.1,55,898,4.75,4.79,2.96
"107",17803,1,"Very Good","G","VVS2",63,56,7177,6.37,6.4,4.02
"108",28013,0.3,"Premium","E","VS2",61.9,59,658,4.29,4.33,2.67
"109",16921,1.41,"Premium","J","VS2",62.7,56,6754,7.2,7.16,4.5
"110",34986,0.46,"Premium","I","SI2",60.3,62,880,4.95,4.9,2.97
"111",33724,0.42,"Very Good","D","SI2",63.1,56,838,4.8,4.74,3.01
"112",28049,0.3,"Very Good","E","VS1",63.4,55,660,4.26,4.29,2.71
"113",36317,0.32,"Premium","G","VVS2",60.2,60,936,4.45,4.42,2.67
"114",41957,0.23,"Very Good","E","VVS2",61.2,60,505,3.97,4,2.44
"115",34027,0.44,"Premium","D","SI1",61.9,59,849,4.86,4.9,3.02
"116",3565,0.86,"Fair","G","VS2",66.5,54.1,3418,5.89,5.97,3.94
"117",43849,0.5,"Good","F","VS2",62.8,61,1447,4.94,5,3.12
"118",40759,0.4,"Premium","F","VVS2",60.7,58,1163,4.75,4.7,2.87
"119",1096,0.8,"Premium","E","SI1",61.2,60,2912,5.97,5.95,3.65
"120",11126,1,"Ideal","F","SI1",62.4,55,4939,6.45,6.37,4
"121",37437,0.33,"Ideal","G","IF",61.7,55,984,4.45,4.47,2.75
"122",12823,1.02,"Premium","G","VS2",61.5,59,5346,6.45,6.4,3.95
"123",40436,0.55,"Good","E","SI1",63.3,54,1138,5.21,5.24,3.31
"124",13207,1.11,"Ideal","H","SI1",61.6,56,5456,6.69,6.65,4.11
"125",52636,0.24,"Very Good","F","VVS2",62.2,58,552,3.97,4.01,2.48
"126",28434,0.3,"Ideal","E","VS1",61.9,56,670,4.28,4.31,2.66
"127",2530,0.7,"Ideal","G","VVS2",60.8,56,3205,5.75,5.79,3.51
"128",341,0.71,"Very Good","G","VS1",63.5,55,2803,5.66,5.64,3.59
"129",34877,0.3,"Very Good","G","VVS2",63.1,56,878,4.23,4.2,2.66
"130",12194,1.01,"Ideal","H","SI1",62.1,59,5189,6.38,6.43,3.98
"131",24226,1.52,"Premium","E","SI1",62.5,59,12418,7.33,7.26,4.56
"132",49741,0.59,"Ideal","G","VVS2",62.3,56,2155,5.34,5.39,3.34
"133",32747,0.36,"Ideal","F","VS1",61.5,55,803,4.57,4.61,2.82
"134",41139,0.5,"Good","G","SI1",63.9,57,1197,5.02,5.06,3.22
"135",7932,1.08,"Premium","G","SI2",60.7,60,4318,6.64,6.61,4.02
"136",8773,1.01,"Good","D","SI2",65.1,57,4468,6.27,6.32,4.1
"137",23739,1.83,"Very Good","F","SI1",63.2,56,11782,7.78,7.73,4.9
"138",53915,0.84,"Good","I","VS1",63.7,59,2753,5.94,5.9,3.77
"139",14471,1,"Fair","F","VS2",64.9,56,5840,6.26,6.31,4.08
"140",28693,0.31,"Very Good","F","VS1",59.7,55,679,4.42,4.46,2.65
"141",30739,0.43,"Good","E","SI1",63.4,57,739,4.81,4.84,3.06
"142",11084,1,"Fair","F","SI1",62.6,59,4925,6.25,6.3,3.93
"143",4200,1.01,"Very Good","F","SI2",63.4,60,3563,6.33,6.26,3.99
"144",1519,0.74,"Ideal","I","VS2",61.9,55,2997,5.8,5.83,3.6
"145",5509,1.08,"Very Good","F","SI2",63.4,55,3847,6.53,6.5,4.13
"146",42429,0.41,"Very Good","F","IF",61.6,58,1313,4.75,4.79,2.94
"147",35823,0.31,"Ideal","F","IF",60.9,56,914,4.37,4.4,2.67
"148",50960,0.51,"Premium","E","VVS1",61.4,60,2323,5.11,5.05,3.12
"149",48393,0.72,"Ideal","J","SI1",62.6,56,1966,5.67,5.74,3.57
"150",29097,0.36,"Premium","D","SI2",61.2,59,689,4.59,4.56,2.8
"151",43203,0.5,"Very Good","D","SI1",62.8,61,1395,5.04,5.08,3.18
"152",40601,0.32,"Very Good","F","SI1",60.7,62,497,4.4,4.43,2.68
"153",19385,1.55,"Premium","J","VS2",60.7,59,8055,7.5,7.47,4.54
"154",14289,1,"Good","E","SI1",61.6,62,5784,6.35,6.42,3.93
"155",50630,0.23,"Very Good","D","VS2",63.1,58,402,3.91,3.95,2.48
"156",369,0.7,"Very Good","F","VS1",62,57,2808,5.64,5.71,3.52
"157",21436,1.52,"Ideal","J","VVS2",62.6,58,9541,7.32,7.34,4.59
"158",12751,1,"Very Good","D","SI1",63.2,59,5320,6.29,6.4,4.01
"159",42850,0.41,"Ideal","F","VVS1",62.3,55,1356,4.79,4.74,2.97
"160",15202,1.01,"Premium","D","VS2",59.2,56,6108,6.48,6.43,3.82
"161",8602,1.03,"Good","D","SI1",64.3,58,4441,6.31,6.28,4.05
"162",35066,0.51,"Ideal","J","SI2",62.1,56,885,5.1,5.14,3.18
"163",2864,0.73,"Ideal","E","VS2",61.9,55,3275,5.76,5.8,3.57
"164",41016,0.51,"Good","F","SI1",64,57,1186,5.01,5.06,3.22
"165",32073,0.32,"Good","E","VS2",57,60,780,4.6,4.53,2.6
"166",8046,0.25,"Ideal","G","VVS1",61.7,56,582,4.05,4.07,2.51
"167",39820,0.38,"Ideal","E","VS1",62.1,57,1097,4.65,4.62,2.88
"168",4573,0.76,"Ideal","G","VS1",61.3,54,3648,5.88,5.94,3.62
"169",5160,0.9,"Good","F","SI2",58,57,3770,6.34,6.41,3.7
"170",40226,0.4,"Premium","D","VS1",62.5,60,1123,4.66,4.72,2.93
"171",303,0.82,"Ideal","F","SI2",62.4,54,2799,5.97,6.02,3.74
"172",5791,1.02,"Premium","G","SI2",60.7,56,3904,6.56,6.51,3.97
"173",50698,0.53,"Ideal","F","VVS2",62.1,56,2290,5.22,5.15,3.22
"174",3606,1,"Fair","J","SI1",64.9,58,3427,6.29,6.23,4.06
"175",44302,0.53,"Very Good","F","VS2",63.2,58,1578,5.13,5.16,3.25
"176",46123,0.72,"Ideal","F","SI2",62,57,1743,5.68,5.64,3.51
"177",27114,1.86,"Very Good","H","VVS2",58.6,62,17267,8.07,8.14,4.75
"178",9674,1.01,"Fair","G","SI1",60.4,62,4646,6.31,6.34,3.82
"179",39488,0.41,"Ideal","E","VS1",62.7,55,1079,4.72,4.76,2.97
"180",31437,0.3,"Ideal","H","IF",62,55,764,4.33,4.35,2.69
"181",2042,0.32,"Ideal","I","VVS2",61.5,56,561,4.4,4.42,2.71
"182",15298,1.29,"Premium","I","SI1",62.1,57,6140,7.03,6.92,4.33
"183",3130,0.9,"Premium","G","SI1",60.1,59,3326,6.25,6.2,3.74
"184",29895,0.3,"Premium","D","VS2",60.4,59,710,4.32,4.35,2.62
"185",7372,1.03,"Ideal","J","SI1",62.1,55,4221,6.46,6.51,4.03
"186",35507,0.41,"Ideal","E","SI1",62.8,57,904,4.75,4.71,2.97
"187",9390,0.32,"Good","D","SI1",63.2,54,589,4.36,4.38,2.76
"188",36452,0.31,"Ideal","D","VS2",62,55,942,4.35,4.33,2.69
"189",31994,0.3,"Premium","F","VS2",62.8,58,776,4.28,4.25,2.68
"190",31217,0.32,"Ideal","D","SI1",62.6,55,756,4.39,4.36,2.74
"191",20974,1.18,"Premium","G","VVS2",58.2,62,9188,6.92,6.89,4.02
"192",35140,0.39,"Premium","E","VS2",61.4,58,889,4.68,4.73,2.89
"193",9554,1.1,"Premium","I","SI1",62,59,4620,6.59,6.54,4.07
"194",24582,2.08,"Premium","G","SI2",62.2,60,12883,8.16,8.09,5.06
