lc_code,inst,faculty,dept
30100004,"Politeknik Perikanan Negeri Tual","Jurusan Teknologi Sumberdaya Perairan",NULL
30100007,"Politeknik Negeri Banyuwangi","Jurusan Teknik Mesin","D4 Teknologi Rekayasa Manufaktur Jurusan Teknik Mesin"
30100015,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Elektro","D3 Teknik Telekomunikasi"
30100016,"Politeknik Negeri Ujung Pandang","Jurusan Administrasi Niaga","D3 Administrasi Bisnis"
30100017,"Politeknik Negeri Bandung","Jurusan Teknik Konversi Energi",NULL
30100018,"Universitas Jambi","Fakultas dan Teknologi","Prodi S1 Biologi Fakultas Sains 1"
30100025,"Universitas Riau","Fakultas Fisika","Prodi S1 Fisika Jurusan 3"
30100030,"Politeknik Negeri Indramayu","Bagian Akademik dan Kemahasiswaan","Subbagian Akademik"
30100033,"Politeknik Negeri Banyuwangi","Jurusan Pertanian","D4 Teknologi Produksi Ternak Jurusan Pertanian"
30100035,"Universitas Jember","Fakultas Keguruan dan Ilmu Pendidikan","Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam"
30100040,"Politeknik Negeri Manado","Jurusan Teknik Sipil","D3 Teknik Sipil Jurusan Teknik Sipil"
30100045,"Universitas Lampung","Fakultas Bahasa Lampung Jurusan Pendidikan Bahasa dan Seni","Prodi S1 Pendidikan 5"
30100046,"Politeknik Negeri Nunukan","Bagian Akademik dan Umum","Subbagian Umum dan Keuangan Bagian Akademik dan Umum"
30100047,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Teknologi Hasil Pertanian","Program Studi Teknologi Rekayasa Pangan"
30100055,"Politeknik Negeri Sriwijaya","Jurusan Teknik Mesin","D4 Teknik Mesin Produksi dan Perawatan Jurusan Teknik Mesin"
30100058,"Politeknik Negeri Malang","Jurusan Teknik Mesin","D4 Teknik Otomotif Elektronik Kampus Pamekasan Jurusan Teknik Mesin"
30100059,"Politeknik Negeri Sriwijaya","Jurusan Akuntansi","D3 Akuntansi Jurusan Akuntansi"
30100063,"Universitas Jambi","Fakultas Bisnis","Prodi S1 Ekonomi Pembangunan Fakultas Ekonomi dan 2"
30100065,"Politeknik Negeri Bandung",NULL,"Unit Penunjang Akademik Perpustakaan"
30100066,"Universitas Lambung Mangkurat","FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN","Prodi S1"
30100067,"Politeknik Negeri Semarang","Jurusan Administrasi Bisnis","Program Studi D4"
30100072,"Universitas Negeri Makassar","Fakultas Bahasa dan Sastra","Program Studi S1 Pendidikan Bahasa 4"
30100073,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ekonomi dan Bisnis","Program Studi S-1 5"
30100075,"Politeknik Negeri Malang","Jurusan Teknik Sipil","D3 Teknik Sipil Jurusan Teknik Sipil"
30100078,"Politeknik Negeri Bengkalis","Jurusan Administrasi Niaga","Program Studi D4 Bisnis Digital"
30100085,"Universitas Bangka Belitung","Fakultas Ekonomi dan Bisnis","Prodi S1 Manajemen Jurusan Manajemen Fakultas 5"
30100086,"Universitas Tanjungpura","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Geofisika 2"
30100089,"Politeknik Negeri Lhokseumawe","Jurusan Teknik Elektro",NULL
30100090,"Politeknik Negeri Batam","Jurusan Teknik Elektro","D4 Teknologi Rekayasa Pembangkit Energi"
30100093,"Universitas Palangka Raya","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1"
