loc_code,data1,data2,data3,data4,data5,data6
30102461,NULL,"Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 1",NULL,NULL,NULL
30102461,NULL,"Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 1",NULL,NULL,NULL
30102461,NULL,"Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 4",NULL,NULL,NULL
30102461,NULL,"Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 4",NULL,NULL,NULL
30102461,NULL,"Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 9",NULL,NULL,NULL
30102461,NULL,"Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 9",NULL,NULL,NULL
30100009,NULL,NULL,"Universitas Jember","Fakultas Pertanian","Program Studi Sarjana (S1) Ilmu Pertanian Perkebunan","Fakultas Pertanian"
30100009,NULL,NULL,"Universitas Jember","Fakultas Pertanian","Program Studi Sarjana (S1) Ilmu Pertanian Perkebunan","Fakultas Pertanian"
30100018,"Fakultas Sains dan Teknologi","Jurusan Matematika dan Ilmu Pengetahuan Alam Fakultas Sains dan Teknologi","Prodi S1 Biologi Fakultas Sains 1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Jambi","Fakultas dan Teknologi"
30100018,"Fakultas Sains dan Teknologi","Jurusan Matematika dan Ilmu Pengetahuan Alam Fakultas Sains dan Teknologi","Prodi S1 Biologi Fakultas Sains 1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI",NULL,"Universitas Jambi","Fakultas dan Teknologi"
30100020,NULL,NULL,"Universitas Mulawarman","Fakultas Ilmu Budaya","Prodi S1 Sastra Inggris Fakultas Ilmu Budaya",NULL
30100020,NULL,NULL,"Universitas Mulawarman","Fakultas Ilmu Budaya","Prodi S1 Sastra Inggris Fakultas Ilmu Budaya",NULL
30100020,NULL,NULL,"Universitas Mulawarman","Fakultas Ilmu Budaya","Prodi S1 Sastra Inggris Fakultas Ilmu Budaya",NULL
30100020,NULL,NULL,"Universitas Mulawarman","Fakultas Ilmu Budaya","Prodi S1 Sastra Inggris Fakultas Ilmu Budaya",NULL
