bodywt;brainwt;vore
0.480;0.01550;"omni"
0.019;0.00029;"omni"
600.000;0.42300;"herbi"
14.000;0.07000;"carni"
14.800;0.09820;"herbi"
33.500;0.11500;"herbi"
0.728;0.00550;"herbi"
0.420;0.00640;"herbi"
0.060;0.00100;"omni"
1.000;0.00660;"omni"
0.005;0.00014;"omni"
3.500;0.01080;"carni"
2.950;0.01230;"herbi"
1.700;0.00630;"omni"
2547.000;4.60300;"herbi"
0.023;0.00030;"insecti"
521.000;0.65500;"herbi"
187.000;0.41900;"herbi"
0.770;0.00350;"omni"
10.000;0.11500;"omni"
3.300;0.02560;"carni"
0.200;0.00500;"omni"
85.000;0.32500;"carni"
2.625;0.01227;"herbi"
62.000;1.32000;"omni"
6654.000;5.71200;"herbi"
6.800;0.17900;"omni"
0.120;0.00100;"herbi"
0.022;0.00040;"herbi"
0.010;0.00025;"insecti"
1.400;0.01250;"carni"
2.500;0.01210;"herbi"
55.500;0.17500;"herbi"
52.200;0.44000;"omni"
100.000;0.15700;"carni"
25.235;0.18000;"omni"
60.000;0.08100;"insecti"
0.320;0.00190;"herbi"
0.743;0.02000;"omni"
0.075;0.00120;"insecti"
0.148;0.00118;"herbi"
0.920;0.00570;"herbi"
0.101;0.00400;"herbi"
86.250;0.18000;"omni"
4.500;0.02500;"insecti"
207.501;0.16900;"herbi"
0.900;0.00260;"omni"
0.104;0.00250;"omni"
2.000;0.01750;"carni"
3.380;0.04450;"carni"
4.230;0.05040;"carni"
