local_id,pres_num,gender,class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
24257181,1,L,8F,k,k,o,d,d,k,o,o,n,n,n,n,k,o,d
24257182,2,L,8F,k,k,k,o,d,n,o,o,o,n,n,n,k,o,d
24257183,3,P,8F,k,k,k,d,d,n,k,o,d,n,n,d,k,d,d
24257184,4,P,8F,k,k,n,d,n,n,k,n,n,n,n,n,k,n,k
24257185,5,P,8F,k,k,o,d,d,n,k,o,o,n,n,n,k,o,d
24257186,6,L,8F,k,k,k,d,d,d,d,d,o,d,d,d,k,o,d
24257187,7,P,8F,k,k,k,o,d,n,k,o,o,n,o,o,k,o,d
24257188,8,P,8F,k,k,k,d,d,n,k,o,o,n,n,n,k,o,d
24257189,9,P,8F,,,,,,,,,,,,,,,
24257190,10,L,8F,k,k,o,d,d,n,k,o,o,n,n,n,k,o,d
24257191,11,L,8F,k,k,o,d,d,n,k,o,o,n,n,n,k,o,d
24257193,12,P,8F,o,k,k,o,k,n,n,n,n,n,n,n,k,o,d
24257194,13,P,8F,o,k,o,d,d,n,k,o,o,d,n,n,k,o,d
24257198,14,L,8F,k,k,o,d,d,n,k,o,o,n,n,n,k,o,d
24257199,15,L,8F,k,k,o,d,d,n,k,o,o,n,n,n,k,o,d
24257200,16,L,8F,k,k,k,d,d,n,k,o,o,o,o,o,k,d,d
25268005,17,L,8F,k,k,o,d,d,n,k,o,o,n,n,n,k,o,d
24257201,18,P,8F,k,k,k,o,d,n,k,o,o,n,n,o,k,o,d
24257202,19,P,8F,k,k,k,o,d,n,k,o,o,n,n,o,k,d,d
24257203,20,P,8F,k,k,k,d,d,n,k,o,o,n,n,n,k,o,d
24257204,21,P,8F,,,,,,,,,,,,,,,
24257205,22,L,8F,k,k,n,o,d,n,k,o,o,n,n,n,o,d,d
24257206,23,L,8F,k,k,o,d,d,n,k,o,o,o,n,o,k,o,d
24257207,24,P,8F,k,k,k,o,d,n,k,d,o,n,n,d,k,d,d
24257208,25,P,8F,k,k,o,d,d,n,k,o,o,n,n,n,k,o,d
24257209,26,L,8F,k,k,k,d,d,n,k,o,o,n,n,o,k,o,d
24257210,27,L,8F,k,k,o,d,d,n,k,o,o,n,n,n,k,o,d
24257211,28,L,8F,k,k,k,d,d,n,k,o,o,n,n,o,k,o,d
24257212,29,P,8F,k,k,k,d,d,n,k,o,o,n,n,n,k,o,d
24257213,30,P,8F,k,k,o,d,d,n,k,o,o,n,n,n,k,o,d
24257214,31,P,8F,,,,,,,,,,,,,,,
24257215,32,P,8F,k,k,o,d,n,k,d,o,o,n,n,n,k,o,d
24257216,33,L,8F,,,,,,,,,,,,,,,
24257195,34,P,8F,k,k,o,d,n,k,d,o,o,n,n,n,k,o,d
24257196,35,L,8F,k,k,k,d,d,n,k,o,o,o,o,o,k,d,d
24257197,36,L,8F,k,d,k,d,d,k,d,n,n,d,k,d,n,n,d
24257217,1,L,8G,k,k,k,d,d,n,k,o,o,n,n,n,k,n,d
24257218,2,L,8G,,,,,,,,,,,,,,,
24257219,3,P,8G,,,,,,,,,,,,,,,
24257220,4,L,8G,o,k,o,k,n,n,k,o,o,n,n,d,k,n,n
24257221,5,P,8G,,,,,,,,,,,,,,,
24257222,6,P,8G,k,k,k,d,d,o,k,o,o,o,o,n,d,o,d
24257223,7,P,8G,,,,,,,,,,,,,,,
24257224,8,P,8G,k,k,o,d,d,n,k,o,o,n,n,n,k,o,o
24257225,9,L,8G,o,k,k,d,o,n,k,o,o,o,o,d,k,d,o
24257226,10,L,8G,o,k,o,d,o,n,k,o,o,o,o,d,k,o,o
24257227,11,L,8G,o,k,k,d,o,n,k,o,o,o,o,o,k,d,d
24257228,12,P,8G,o,k,o,k,d,n,k,o,o,n,n,n,k,n,o
24257229,13,P,8G,,,,,,,,,,,,,,,
24257230,14,P,8G,o,k,o,k,d,n,k,o,o,n,n,n,k,n,d
24257231,15,P,8G,k,k,n,d,d,n,d,o,o,n,n,o,k,o,d
24257232,16,P,8G,o,k,o,k,d,n,k,o,o,n,n,n,o,n,d
24257233,17,P,8G,d,k,o,k,d,n,o,n,n,o,o,n,k,n,d
24257234,18,P,8G,o,k,o,d,o,n,k,n,o,n,n,n,k,o,d
24257238,19,L,8G,k,d,k,d,o,n,k,o,o,o,o,o,k,d,d
24257239,20,P,8G,k,k,o,d,d,n,k,o,n,n,n,n,k,d,d
24257240,21,P,8G,o,o,o,d,d,n,k,o,o,n,n,n,n,o,d
24257241,22,P,8G,,,,,,,,,,,,,,,
24257242,23,P,8G,,,,,,,,,,,,,,,
24257243,24,L,8G,,,,,,,,,,,,,,,
24257244,25,L,8G,k,k,o,k,d,n,k,o,o,n,n,n,k,o,d
25268004,26,P,8G,k,k,o,d,d,n,k,o,o,n,n,n,k,n,d
24257245,27,P,8G,k,k,o,k,d,n,k,o,o,n,n,n,k,o,d
24257246,28,P,8G,k,k,o,k,d,n,k,o,o,o,n,n,k,o,d
24257247,29,L,8G,,,,,,,,,,,,,,,
24257248,30,L,8G,o,k,o,k,n,n,k,o,o,n,n,o,k,n,n
24257250,31,P,8G,,,,,,,,,,,,,,,
24257251,32,P,8G,,,,,,,,,,,,,,,
24257252,33,P,8G,k,k,k,d,d,o,k,o,o,o,o,n,d,o,d
24257235,34,L,8G,o,k,k,d,o,n,k,o,o,o,o,d,k,d,o
24257236,35,L,8G,k,k,o,d,d,n,k,o,o,n,o,d,o,n,d
24257237,36,L,8G,o,k,o,d,d,n,k,o,o,o,o,d,k,o,d
24257253,1,P,8H,k,k,k,d,d,n,k,o,o,n,n,n,k,o,d
24257254,2,L,8H,,,,,,,,,,,,,,,
24257255,3,P,8H,k,k,k,d,d,n,k,o,o,n,n,n,k,d,d
24257256,4,P,8H,k,k,k,d,d,n,k,o,o,n,n,n,k,o,d
24257257,5,P,8H,n,k,d,d,d,n,k,o,o,n,n,n,k,o,d
24257258,6,P,8H,k,k,k,n,o,n,k,o,o,d,n,n,n,d,o
24257259,7,P,8H,k,k,k,d,n,k,k,o,o,n,n,o,k,o,d
24257260,8,P,8H,,,,,,,,,,,,,,,
24257261,9,L,8H,,,,,,,,,,,,,,,
24257262,10,L,8H,,,,,,,,,,,,,,,
24257263,11,L,8H,,,,,,,,,,,,,,,
24257264,12,P,8H,k,k,k,d,d,n,n,o,o,o,o,o,n,n,o
24257265,13,L,8H,,,,,,,,,,,,,,,
24257266,14,P,8H,,,,,,,,,,,,,,,
24257267,15,P,8H,,,,,,,,,,,,,,,
24257268,16,P,8H,k,k,k,d,d,n,k,o,o,n,n,n,k,o,d
24257269,17,P,8H,k,k,k,d,d,n,k,o,o,n,n,o,k,o,d
24257271,18,L,8H,,,,,,,,,,,,,,,
24257272,19,L,8H,,,,,,,,,,,,,,,
24257273,20,L,8H,,,,,,,,,,,,,,,
24257274,21,L,8H,,,,,,,,,,,,,,,
24257270,22,L,8H,,,,,,,,,,,,,,,
24257278,23,P,8H,k,k,k,,d,n,k,o,o,o,o,o,k,o,d
24257279,24,P,8H,k,k,k,d,d,n,k,o,o,n,n,o,k,o,d
24257280,25,L,8H,,,,,,,,,,,,,,,
24257281,26,L,8H,,,,,,,,,,,,,,,
24257282,27,P,8H,k,k,k,d,d,n,k,o,o,n,n,o,k,o,d
24257283,28,P,8H,k,k,k,d,d,n,k,o,o,n,n,n,k,o,d
24257284,29,L,8H,,,,,,,,,,,,,,,
24257285,30,L,8H,,,,,,,,,,,,,,,
24257286,31,P,8H,k,k,k,d,d,n,k,o,o,n,n,o,k,o,d
24257287,32,P,8H,k,k,k,d,d,n,k,o,o,n,n,n,k,o,d
24257288,33,P,8H,k,k,k,k,d,n,k,o,o,n,n,o,k,o,d
24257275,34,L,8H,,,,,,,,,,,,,,,
24257276,35,L,8H,,,,,,,,,,,,,,,
24257277,36,P,8H,k,k,k,d,d,n,k,o,o,n,n,o,k,o,d
24257289,1,L,8I,,,,,,,,,,,,,,,
24257290,2,L,8I,k,k,k,d,d,n,k,d,d,d,d,d,k,d,d
24257291,3,P,8I,k,k,n,k,d,n,k,o,o,n,n,o,k,o,d
24257292,4,P,8I,k,k,k,d,o,n,d,o,o,o,o,o,d,o,n
24257293,5,P,8I,k,k,o,d,d,n,k,o,o,o,o,n,k,o,d
24257294,6,P,8I,,,,,,,,,,,,,,,
24257295,7,P,8I,k,k,k,d,d,n,k,o,o,n,n,n,k,o,d
24257296,8,L,8I,k,k,k,d,d,d,k,d,d,d,d,d,k,k,d
24257297,9,L,8I,k,k,o,k,d,o,k,o,o,o,n,n,d,o,k
24257298,10,P,8I,,,,,,,,,,,,,,,
24257299,11,L,8I,k,k,o,k,d,n,k,o,o,n,n,o,k,n,d
24257300,12,L,8I,k,k,k,d,d,d,k,d,d,d,d,n,k,o,d
24257301,13,P,8I,k,k,o,d,d,n,d,o,o,n,n,n,k,o,d
24257302,14,P,8I,k,k,o,d,d,n,d,o,o,n,n,n,k,n,d
24257303,15,P,8I,k,k,n,d,n,n,k,o,n,n,n,n,o,o,n
24257304,16,P,8I,,,,,,,,,,,,,,,
24257305,17,P,8I,,,,,,,,,,,,,,,
24257306,18,P,8I,k,k,k,d,d,n,k,o,o,n,n,n,k,o,d
24257307,19,L,8I,k,k,k,d,d,n,d,o,o,o,o,n,d,n,d
24257308,20,L,8I,k,k,k,d,d,d,k,d,d,d,d,d,k,n,d
24257309,21,L,8I,k,k,k,d,d,n,k,d,d,d,d,d,k,o,d
24257310,22,L,8I,,,,,,,,,,,,,,,
24257311,23,P,8I,k,k,k,k,d,n,k,o,o,n,n,n,k,o,d
24257312,24,P,8I,k,k,o,k,d,n,k,o,o,n,n,n,k,n,d
24257317,25,P,8I,k,k,o,d,d,n,d,o,o,n,n,n,k,n,d
24257318,26,P,8I,k,k,k,d,d,n,d,o,o,n,n,n,k,o,d
24257319,27,P,8I,,,,,,,,,,,,,,,
24257320,28,P,8I,k,k,o,d,d,n,d,o,o,n,n,n,k,o,d
24257321,29,L,8I,k,k,k,d,d,d,k,d,d,d,d,d,k,d,d
24257322,30,L,8I,k,k,k,k,o,d,k,k,d,d,d,d,o,n,k
24257323,31,P,8I,k,k,o,d,d,n,d,o,o,o,o,n,k,d,d
24257324,32,P,8I,k,k,n,k,d,n,k,o,o,n,n,o,k,o,d
24257313,33,P,8I,,,,,,,,,,,,,,,
24257314,34,P,8I,,,,,,,,,,,,,,,
24257315,35,L,8I,k,k,k,k,d,n,k,o,o,n,n,o,k,o,d
24257316,36,L,8I,k,k,k,k,d,n,d,o,o,o,o,d,k,d,d
23247144,1,P,8J,k,k,k,d,d,n,k,o,o,o,o,o,k,d,d
24257325,2,P,8J,n,k,o,d,d,n,k,o,o,n,n,n,k,d,d
24257326,3,L,8J,k,k,k,k,d,n,k,o,o,o,o,o,k,k,d
24257327,4,P,8J,k,k,o,d,d,n,k,o,o,o,n,n,k,o,d
24257328,5,L,8J,,,,,,,,,,,,,,,
24257329,6,P,8J,k,k,o,k,d,n,k,o,o,n,n,n,k,n,d
24257330,7,P,8J,n,k,o,k,d,n,d,o,o,o,o,o,k,o,k
24257331,8,L,8J,,,,,,,,,,,,,,,
24257332,9,L,8J,,,,,,,,,,,,,,,
24257333,10,L,8J,,,,,,,,,,,,,,,
24257334,11,P,8J,k,k,o,n,d,n,k,d,o,n,n,o,k,o,d
24257335,12,L,8J,,,,,,,,,,,,,,,
24257336,13,P,8J,,,,,,,,,,,,,,,
24257337,14,P,8J,k,k,k,d,d,n,k,o,o,n,n,o,k,n,d
24257338,15,P,8J,k,k,o,d,d,n,d,o,o,n,n,n,d,o,d
24257339,16,P,8J,k,k,k,k,d,n,d,o,o,n,n,n,k,o,d
24257340,17,P,8J,k,k,k,d,d,n,k,o,o,o,o,o,k,d,d
24257341,18,P,8J,n,k,o,d,o,n,k,o,o,n,n,n,k,d,d
24257342,19,L,8J,k,k,o,d,d,n,k,o,o,o,o,o,d,o,d
24257343,20,L,8J,,,,,,,,,,,,,,,
24257344,21,L,8J,k,k,k,d,d,n,k,o,o,o,o,o,d,o,d
24257345,22,L,8J,k,k,o,d,d,n,k,o,o,o,o,o,d,o,d
24257346,23,L,8J,,,,,,,,,,,,,,,
24257347,24,P,8J,k,k,o,d,d,n,k,o,o,n,n,n,k,n,d
24257348,25,P,8J,k,k,o,n,d,n,k,d,o,n,n,o,k,o,d
24257349,26,P,8J,,,,,,,,,,,,,,,
24257350,27,L,8J,,,,,,,,,,,,,,,
24257351,28,P,8J,k,k,o,d,d,n,k,o,o,o,n,n,k,o,d
24257352,29,P,8J,n,k,o,k,d,n,d,o,o,o,o,o,k,o,k
24257357,30,P,8J,k,k,o,d,d,n,k,o,o,n,n,o,k,n,k
24257358,31,P,8J,k,k,k,k,d,n,k,n,o,n,n,n,k,n,d
24257359,32,L,8J,,,,,,,,,,,,,,,
24257353,33,L,8J,,,,,,,,,,,,,,,
24257354,34,L,8J,k,k,o,d,d,n,k,o,o,o,n,n,k,d,d
24257355,35,P,8J,,,,,,,,,,,,,,,
24257356,36,P,8J,k,k,k,d,d,n,k,o,o,n,n,n,k,d,d
