filename,n_row_red,red_area_sq2,img_area
IMG-20260511-WA0001.jpg,216,25136,180594
IMG-20260511-WA0002.jpg,119,18329,159264
IMG-20260511-WA0003.jpg,0,0,178500
IMG-20260511-WA0004.jpg,79,25038,173052
IMG-20260511-WA0005.jpg,0,0,185598
IMG-20260511-WA0006.jpg,114,28979,177000
IMG-20260511-WA0007.jpg,110,17848,177855
IMG-20260511-WA0008.jpg,49,695,177354
IMG-20260511-WA0009.jpg,102,27624,189443
IMG-20260511-WA0010.jpg,57,14337,177000
IMG-20260511-WA0011.jpg,88,15035,147611
IMG-20260511-WA0012.jpg,0,0,177500
IMG-20260511-WA0013.jpg,62,14210,182655
IMG-20260511-WA0014.jpg,120,16472,149175
IMG-20260511-WA0016.jpg,0,0,189344
IMG-20260511-WA0017.jpg,57,13224,185256
IMG-20260511-WA0018.jpg,129,12017,180360
IMG-20260511-WA0019.jpg,105,23482,173215
IMG-20260511-WA0020.jpg,0,0,178143
IMG-20260511-WA0021.jpg,106,3584,177145
IMG-20260511-WA0022.jpg,101,19603,171500
IMG-20260511-WA0023.jpg,279,26564,177500
IMG-20260511-WA0024.jpg,54,14630,176202
IMG-20260511-WA0025.jpg,56,13188,177000
IMG-20260511-WA0026.jpg,131,34459,181040
IMG-20260511-WA0027.jpg,266,29310,182780
IMG-20260511-WA0028.jpg,0,0,169141
IMG-20260511-WA0029.jpg,119,14589,177500
IMG-20260511-WA0030.jpg,67,13894,182780
